Generating SQLite file profile_report.sqlite from profile_report.nsys-rep
Processing [profile_report.sqlite] with [/opt/nvidia/nsight-systems/2025.3.2/host-linux-x64/reports/nvtx_sum.py]... 
SKIPPED: profile_report.sqlite does not contain NV Tools Extension (NVTX) data.

Processing [profile_report.sqlite] with [/opt/nvidia/nsight-systems/2025.3.2/host-linux-x64/reports/osrt_sum.py]... 

 ** OS Runtime Summary (osrt_sum):

 Time (%)  Total Time (ns)  Num Calls    Avg (ns)       Med (ns)      Min (ns)      Max (ns)      StdDev (ns)            Name         
      6.4      339,423,569         13  26,109,505.3  25,037,335.0  24,451,187  32,291,467   2,189,221.0  void cudss::factorize_ker<long, double, int, double, (int)32, (int)1, (int)0, (int)0, (int)1, (int)…
      4.3      226,209,657         24   9,425,402.4   9,410,463.0   7,666,809  11,137,157   1,740,853.6  cone_product_kernel(const double *, const double *, double *, int, int, const int *)                
      2.5      130,454,937         13  10,034,995.2   9,955,617.0   9,710,976  10,913,220     300,058.7  void cudss::factorize_v3_ker<long, double, int, double, (int)128, (int)8, (int)1, (int)0, (int)0, (…
      2.2      114,704,898         12   9,558,741.5   9,564,720.0   9,492,286   9,565,215      20,929.0  add_e_kernel(double *, double, double, int, int *)                                                  
      1.2       66,207,030          1  66,207,030.0  66,207,030.0  66,207,030  66,207,030           0.0  void cudss::radix_sort_ker<long, int, int, (int)1, (int)20, (int)4, (int)1>(T2, const T1 *, T2 *, T…
      1.0       53,274,700          2  26,637,350.0  26,637,350.0   1,090,243  52,184,457  36,129,065.2  void cudss::radix_sort_ker<long, int, double, (int)1, (int)20, (int)4, (int)0>(T2, const T1 *, T2 *…
      0.9       49,840,710         39   1,277,966.9   1,269,189.0   1,222,916   1,395,300      34,541.8  USpMv_kernel(const QOCOCscMatrix *, const double *, double *)                                       
      0.6       32,471,022         50     649,420.4     664,274.0     385,249     982,339     263,119.1  void cudss::bwd_ker<long, double, int, (int)32, (int)32, (int)16, (int)2, (int)16, (int)1, (int)0, …
      0.4       19,798,752          1  19,798,752.0  19,798,752.0  19,798,752  19,798,752           0.0  void cudss::map_ker<long, int, int, (int)256, (int)1, (int)2>(T2, const T3 *, const T3 *, int, cons…
      0.3       17,927,032         25     717,081.3     715,331.0     711,362     772,066      11,576.1  void cudss::fwd_ker<long, double, int, (int)32, (int)1, (int)0, (int)0, (int)32, (int)1, (int)16, (…
      0.3       15,360,562          2   7,680,281.0   7,680,281.0   7,680,185   7,680,377         135.8  bring2cone_kernel(double *, int *, int, int)                                                        
      0.2       10,220,614         25     408,824.6     407,745.0     403,650     447,106       8,125.7  void cudss::fwd_ker<long, double, int, (int)128, (int)1, (int)0, (int)0, (int)128, (int)1, (int)16,…
      0.2       10,159,361          2   5,079,680.5   5,079,680.5   5,079,601   5,079,760         112.4  cone_residual_kernel(const double *, int, int, const int *, double *)                               
      0.1        7,720,985          1   7,720,985.0   7,720,985.0   7,720,985   7,720,985           0.0  void cudss::adjncy_ker<int, int, long, int, (int)128>(T4, const T1 *, const T2 *, T3 *, T4 *, T3 *,…
      0.1        6,097,394         52     117,257.6     121,728.0      62,656     179,456      47,869.6  SpMv_kernel(const QOCOCscMatrix *, const double *, double *)                                        
      0.1        4,481,999         10     448,199.9       4,768.0       1,280   4,385,710   1,383,575.0  void cudss::csc_rows_ker<long, int, (int)256>(T2, T2, const T2 *, const T2 *, const T1 *, const T1 …
      0.1        4,437,934          2   2,218,967.0   2,218,967.0   2,216,359   2,221,575       3,688.3  void offsets_par_ker<long, int, int, (int)128, (int)1>(T1, T1 *, T2 *, T3 *, int *, int)            
      0.1        4,364,239         52      83,927.7      85,920.5      74,048      98,304       8,738.8  SpMtv_kernel(const QOCOCscMatrix *, const double *, double *)                                       
      0.1        4,127,725          1   4,127,725.0   4,127,725.0   4,127,725   4,127,725           0.0  void cudss::map_offsets_ker<long, int, int, (int)128, (int)1>(T2, const T3 *, const T3 *, int, cons…
      0.1        3,851,468         10     385,146.8     148,704.5       1,216   1,392,452     512,037.6  void cudss::dependency_map_ker<int, long, (int)512, (int)0>(T1, const T2 *, const T1 *, const T1 *,…
      0.1        3,323,403          1   3,323,403.0   3,323,403.0   3,323,403   3,323,403           0.0  void cudss::nnz_per_col_ker<long, int, (int)128, (int)1>(T2, const T1 *, const T2 *, const T2 *, co…
      0.0        2,519,784          1   2,519,784.0   2,519,784.0   2,519,784   2,519,784           0.0  void cudss::xadj_ker<int, int, long, int, (int)128>(T4, const T1 *, const T2 *, const T3 *, const T…
      0.0        2,369,288          1   2,369,288.0   2,369,288.0   2,369,288   2,369,288           0.0  void offsets_par_ker<long, long, long, (int)128, (int)2>(T1, T1 *, T2 *, T3 *, int *, int)          
      0.0        2,367,080          1   2,367,080.0   2,367,080.0   2,367,080   2,367,080           0.0  void offsets_par_ker<long, long, int, (int)128, (int)2>(T1, T1 *, T2 *, T3 *, int *, int)           
      0.0        2,335,240          1   2,335,240.0   2,335,240.0   2,335,240   2,335,240           0.0  void offsets_par_ker<int, int, int, (int)128, (int)2>(T1, T1 *, T2 *, T3 *, int *, int)             
      0.0        2,221,895          1   2,221,895.0   2,221,895.0   2,221,895   2,221,895           0.0  void offsets_par_ker<long, long, long, (int)128, (int)1>(T1, T1 *, T2 *, T3 *, int *, int)          
      0.0        1,988,935          1   1,988,935.0   1,988,935.0   1,988,935   1,988,935           0.0  void cudss::radix_sort_ker<int, int, double, (int)1, (int)20, (int)4, (int)0>(T2, const T1 *, T2 *,…
      0.0        1,885,350          1   1,885,350.0   1,885,350.0   1,885,350   1,885,350           0.0  void cudss::nnz_per_col_ker<long, int, (int)128, (int)0>(T2, const T1 *, const T2 *, const T2 *, co…
      0.0        1,817,349         13     139,796.1     139,680.0     138,496     141,280         633.8  void cudss::copy_matrix_ker<long, double, int, int, double, (int)128>(T3, T3, T1, const T4 *, const…
      0.0          885,251        273       3,242.7       3,008.0       2,656       4,512         490.4  void iamax_kernel<int, double, double, (int)256>(cublasIamaxParams<T1, T2, T3>)                     
      0.0          718,274        141       5,094.1       5,248.0       1,984       6,752       1,051.1  void dot_kernel<double, (int)128, (int)0, cublasDotParams<cublasGemvTensor<const double>, cublasGem…
      0.0          711,138          1     711,138.0     711,138.0     711,138     711,138           0.0  void cudss::trans_columns_ker<int, int, long, int, (int)128>(T4, const T1 *, const T2 *, T3 *, T4 *…
      0.0          704,322          1     704,322.0     704,322.0     704,322     704,322           0.0  void cudss::compute_hybrid_minimum_chunk_size_ker<long, int, (int)128>(T2, T2, const T1 *, const T2…
      0.0          664,674          1     664,674.0     664,674.0     664,674     664,674           0.0  void cudss::modify_update_ker<long, int, (int)128>(T2, T2, const T1 *, T2 *, const T2 *, const T2 *…
      0.0          551,873        236       2,338.4       2,192.0       1,280       4,096         571.1  axpy_kernel(const double *, const double *, double *, double, int)                                  
      0.0          516,866          1     516,866.0     516,866.0     516,866     516,866           0.0  void cudss::define_superpanel_ker<long, int, (int)256>(T2, T2, T2, const T1 *, const T2 *, const T2…
      0.0          502,977        102       4,931.1       1,856.0       1,600      91,297      15,392.2  void cudss::fwd_bwd_order_step_2_ker<long, int, (int)128>(T2, T2, T2 *, T2 *, const T1 *, const T2 …
      0.0          458,304        188       2,437.8       2,512.0       1,216       4,000         776.4  ew_product_kernel(const double *, const double *, double *, int)                                    
      0.0          401,697          1     401,697.0     401,697.0     401,697     401,697           0.0  void cudss::trans_nnz_per_row_ker<int, int, long, int, (int)128>(T4, const T1 *, const T2 *, T3 *, …
      0.0          395,745          2     197,872.5     197,872.5     173,536     222,209      34,417.0  void cudss::count_dep_fwd_bwd_ker<long, int, (int)128>(T2, T2, T2 *, T2 *, const T1 *, const T2 *)  
      0.0          395,424        141       2,804.4       2,816.0       2,016       3,360         271.8  void reduce_1Block_kernel<double, (int)128, (int)7, cublasGemvTensorStridedBatched<double>, cublasG…
      0.0          353,410         25      14,136.4      13,889.0      13,568      19,264       1,087.8  void cudss::diag_ker<long, double, int, (int)256>(T3, T3, T2 *, long, const T2 *, const T3 *, const…
      0.0          337,985          1     337,985.0     337,985.0     337,985     337,985           0.0  void cudss::updates_offsets_ker<long, int, (int)128>(T2, const T2 *, const T1 *, const T2 *, const …
      0.0          282,849          1     282,849.0     282,849.0     282,849     282,849           0.0  void cudss::blocks_ker<long, int, (int)128>(T2, const T2 *, const T1 *, const T2 *, const T2 *, con…
      0.0          202,657         25       8,106.3       8,096.0       7,936       8,641         133.0  void cudss::perm_ker<double, int, (int)128, (int)1>(unsigned int, T2, T1 *, T1 *, T2 *, long)       
      0.0          177,184         77       2,301.1       1,504.0       1,408       8,736       1,374.3  void cudss::fwd_bwd_order_step_1_ker<long, int, (int)128>(T2, T2, T2 *, T2 *, T2 *, T2 *, T2 *, int…
      0.0          149,280         50       2,985.6       2,544.0       1,696       4,800       1,311.0  copy_and_negate_arrayf_kernel(const double *, double *, int)                                        
      0.0          133,056         25       5,322.2       5,312.0       5,152       5,888         154.5  void cudss::perm_ker<double, int, (int)128, (int)0>(unsigned int, T2, T1 *, T1 *, T2 *, long)       
      0.0          108,993          1     108,993.0     108,993.0     108,993     108,993           0.0  void cudss::updates_ker<long, int, (int)128>(T2, const T2 *, const T2 *, T1 *, const T2 *, const T2…
      0.0           71,072          1      71,072.0      71,072.0      71,072      71,072           0.0  void cudss::supernode_map_ker<int, (int)1>(T1, const T1 *, const T1 *, T1 *, T1, T1 *, T1, T1 *, T1…
      0.0           66,592         44       1,513.5       1,600.0       1,088       3,520         393.2  copy_arrayf_kernel(const double *, double *, int)                                                   
      0.0           58,976         25       2,359.0       2,368.0       2,272       2,496          63.0  void cudss::upd_marker_bwd_ker<long, int, (int)256>(unsigned int, T2, T1, int, const T2 *, int *, T…
      0.0           57,472         13       4,420.9       4,384.0       4,288       4,800         130.5  void cudss::plain_map_ker<long, int, (int)128>(unsigned int, T2, const T1 *, const T2 *, T2 *, T2, …
      0.0           42,592          1      42,592.0      42,592.0      42,592      42,592           0.0  void cudss::supernode_map_offsets_ker<int, (int)1>(T1, const T1 *, const T1 *, T1 *, T1, T1 *, T1, …
      0.0           34,848         12       2,904.0       2,880.0       2,816       3,104          80.9  update_csr_nt_blocks_kernel(const double *, double *, const int *, const int *, double, int, int)   
      0.0           31,104         13       2,392.6       2,368.0       2,336       2,688          92.5  void cudss::finalize_eps_scale_ker<int, double, (int)128>(T1, T2 *, T2, int)                        
      0.0           29,696         13       2,284.3       2,112.0       2,016       2,688         270.8  void cudss::independent_ker<long, double, int, double, (int)64, (int)1, (int)0, (int)0>(unsigned in…
      0.0           29,600          1      29,600.0      29,600.0      29,600      29,600           0.0  void cudss::copy_csr_columns_ker<int, int, (int)128>(long, const T2 *, const T2 *, T1 *, int)       
      0.0           28,256         12       2,354.7       2,352.0       2,304       2,464          46.2  update_csr_nt_diag_kernel(double *, const int *, double, int)                                       
      0.0           26,304         15       1,753.6       1,792.0       1,120       1,984         187.1  scale_arrayf_kernel(const double *, double *, double, int)                                          
      0.0           16,449          1      16,449.0      16,449.0      16,449      16,449           0.0  void cudss::offsets_ker<int, (int)1>(T1, T1 *)                                                      
      0.0           11,264          1      11,264.0      11,264.0      11,264      11,264           0.0  void cudss::nnz_count_ker<long, int, (int)128>(T2, const T2 *, const T2 *, T1 *, T1 *, T1 *)        
      0.0            3,552          1       3,552.0       3,552.0       3,552       3,552           0.0  void cudss::supernode_dependant_ker<int, (int)128>(T1, T1 *, T1 *, T1 *, T1 *)                      
      0.0            2,176          1       2,176.0       2,176.0       2,176       2,176           0.0  void cudss::set_default_ker<int, (int)128>(T1, T1 *)                                                
      0.0            1,792          1       1,792.0       1,792.0       1,792       1,792           0.0  set_Wfull_linear(double *, int, int)                                                                

Processing [profile_report.sqlite] with [/opt/nvidia/nsight-systems/2025.3.2/host-linux-x64/reports/cuda_gpu_mem_time_sum.py]... 

 ** CUDA GPU MemOps Summary (by Time) (cuda_gpu_mem_time_sum):

 Time (%)  Total Time (ns)  Count  Avg (ns)  Med (ns)  Min (ns)  Max (ns)   StdDev (ns)            Operation           
 --------  ---------------  -----  --------  --------  --------  ---------  -----------  ------------------------------
     46.8        8,199,288    128  64,056.9     480.0       384  1,557,829    225,954.0  [CUDA memcpy Host-to-Device]  
     45.0        7,889,436    625  12,623.1     896.0       864  7,061,015    282,419.6  [CUDA memcpy Device-to-Host]  
      5.3          922,467    332   2,778.5   1,440.0       384     74,464      7,474.6  [CUDA memset]                 
      2.9          510,594    121   4,219.8   3,712.0     2,016     31,584      3,558.6  [CUDA memcpy Device-to-Device]

Processing [profile_report.sqlite] with [/opt/nvidia/nsight-systems/2025.3.2/host-linux-x64/reports/cuda_gpu_mem_size_sum.py]... 

 ** CUDA GPU MemOps Summary (by Size) (cuda_gpu_mem_size_sum):

 Total (MB)  Count  Avg (MB)  Med (MB)  Min (MB)  Max (MB)  StdDev (MB)            Operation           
 ----------  -----  --------  --------  --------  --------  -----------  ------------------------------
    679.273    332     2.046     0.800     0.000    65.600        6.666  [CUDA memset]                 
    200.681    121     1.659     1.600     0.800    11.610        1.275  [CUDA memcpy Device-to-Device]
    149.312    128     1.167     0.000     0.000    23.221        3.692  [CUDA memcpy Host-to-Device]  
     27.978    625     0.045     0.000     0.000    21.621        0.871  [CUDA memcpy Device-to-Host]  

Processing [profile_report.sqlite] with [/opt/nvidia/nsight-systems/2025.3.2/host-linux-x64/reports/openmp_sum.py]... 
SKIPPED: profile_report.sqlite does not contain OpenMP event data.

Processing [profile_report.sqlite] with [/opt/nvidia/nsight-systems/2025.3.2/host-linux-x64/reports/opengl_khr_range_sum.py]... 
SKIPPED: profile_report.sqlite does not contain KHR Extension (KHR_DEBUG) data.

Processing [profile_report.sqlite] with [/opt/nvidia/nsight-systems/2025.3.2/host-linux-x64/reports/opengl_khr_gpu_range_sum.py]... 
SKIPPED: profile_report.sqlite does not contain GPU KHR Extension (KHR_DEBUG) data.

Processing [profile_report.sqlite] with [/opt/nvidia/nsight-systems/2025.3.2/host-linux-x64/reports/vulkan_marker_sum.py]... 
SKIPPED: profile_report.sqlite does not contain Vulkan Debug Extension (Vulkan Debug Util) data.

Processing [profile_report.sqlite] with [/opt/nvidia/nsight-systems/2025.3.2/host-linux-x64/reports/vulkan_gpu_marker_sum.py]... 
SKIPPED: profile_report.sqlite does not contain GPU Vulkan Debug Extension (GPU Vulkan Debug markers) data.

Processing [profile_report.sqlite] with [/opt/nvidia/nsight-systems/2025.3.2/host-linux-x64/reports/dx11_pix_sum.py]... 
SKIPPED: profile_report.sqlite does not contain DX11 CPU debug markers.

Processing [profile_report.sqlite] with [/opt/nvidia/nsight-systems/2025.3.2/host-linux-x64/reports/dx12_gpu_marker_sum.py]... 
SKIPPED: profile_report.sqlite does not contain DX12 GPU debug markers.

Processing [profile_report.sqlite] with [/opt/nvidia/nsight-systems/2025.3.2/host-linux-x64/reports/dx12_pix_sum.py]... 
SKIPPED: profile_report.sqlite does not contain DX12 CPU debug markers.

Processing [profile_report.sqlite] with [/opt/nvidia/nsight-systems/2025.3.2/host-linux-x64/reports/wddm_queue_sum.py]... 
SKIPPED: profile_report.sqlite does not contain WDDM context data.

Processing [profile_report.sqlite] with [/opt/nvidia/nsight-systems/2025.3.2/host-linux-x64/reports/um_sum.py]... 
SKIPPED: profile_report.sqlite does not contain CUDA Unified Memory CPU page faults data.

Processing [profile_report.sqlite] with [/opt/nvidia/nsight-systems/2025.3.2/host-linux-x64/reports/um_total_sum.py]... 
SKIPPED: profile_report.sqlite does not contain CUDA Unified Memory CPU page faults data.

Processing [profile_report.sqlite] with [/opt/nvidia/nsight-systems/2025.3.2/host-linux-x64/reports/um_cpu_page_faults_sum.py]... 
SKIPPED: profile_report.sqlite does not contain CUDA Unified Memory CPU page faults data.

Processing [profile_report.sqlite] with [/opt/nvidia/nsight-systems/2025.3.2/host-linux-x64/reports/openacc_sum.py]... 
SKIPPED: profile_report.sqlite does not contain OpenACC event data.

Processing [profile_report.sqlite] with [/opt/nvidia/nsight-systems/2025.3.2/host-linux-x64/reports/syscall_sum.py]... 
SKIPPED: profile_report.sqlite does not contain syscall data.

